gene,log2FC,p_value
TSPAN6,0.572867761375463,0.00010185916703046441
TNMD,0.5882803347191072,0.2938481162530727
DPM1,0.7818267241786502,3.3824735821941715e-09
SCYL3,0.9314278924589987,4.074652757776606e-05
C1orf112,1.633909887219812,7.917902123939685e-06
FGR,-0.25909732636521665,0.3467274567634693
CFH,0.22707009891358937,0.19424468823320487
FUCA2,0.9119359069801452,1.6386478088899662e-07
GCLC,0.29112064288592243,0.06533065316234396
NFYA,1.3686266680095531,1.814001462920625e-05
STPG1,1.3375391123719615,6.497124962370172e-07
NIPAL3,1.2301000239344364,5.145076024324564e-07
LAS1L,1.2580649635700603,2.545425672819182e-10
ENPP4,1.3455372706018913,3.85099496614317e-06
SEMA3F,2.184775031449006,2.1076126973296062e-12
CFTR,-0.13015782673790577,0.8800208675429333
ANKIB1,1.1024171498286872,9.587694225134905e-06
CYP51A1,1.1576590074335134,0.0009201018322572327
KRIT1,0.8028168191889118,9.921030474871147e-10
RAD52,0.9965530844611481,6.971896800671785e-08
BAD,0.8862837124788308,1.2825923363007226e-10
LAP3,-0.008661037095661923,0.9571637575165298
CD99,0.8274040450830662,4.62625580623834e-08
CD99.1,0.0,
HS3ST1,0.13096354258355974,0.6839097787078692
AOC1,-1.4448884318723356,0.002785464707068269
WNT16,0.8524397715461874,0.29337456589161487
HECW1,2.20929218804408,0.047290215897264974
MAD1L1,0.7121432720432556,0.14659905987449345
LASP1,1.4400205728041953,2.07370417721572e-06
SNX11,1.1556796946082077,2.1240178550587984e-12
TMEM176A,0.3115296142624785,0.034364813749407565
M6PR,0.6873975166446299,0.0005623861798613358
KLHL13,1.5152506248212156,0.0010480753352484003
CYP26B1,0.4855412701081169,0.4387216393921266
ICA1,0.9186617339301644,0.007140086721613348
DBNDD1,2.3028201620769146,4.9084715074973016e-05
ALS2,0.49929759242122795,0.0005449828315013295
CASP10,0.6569663050610289,0.0013651077687902434
CFLAR,0.5000801626432393,0.00013373195237538195
TFPI,0.5610609034563888,0.0028890679668178254
NDUFAF7,0.7794458472008291,4.372083843799941e-08
RBM5,0.8240534078380465,9.06204749696042e-09
MTMR7,1.9562806316199939,0.012810252900133719
SLC7A2,-0.06659971221267721,0.8185849747604803
ARF5,0.8737435751149831,1.5637358554295163e-09
SARM1,1.254028879578812,3.363158618355464e-05
POLDIP2,0.6262334646003895,1.012042687846191e-09
PLXND1,1.5463637819689664,8.394749139868157e-08
AK2,0.3209410448455847,0.002191323968433471
CD38,0.986499210907742,0.43164932058727434
FKBP4,0.939215799728179,5.61687842758603e-08
KDM1A,0.9178607121121074,1.9088943068461275e-07
RBM6,0.9104087827535949,1.752729339149264e-09
CAMKK1,0.729458460635968,0.001778608486751401
RECQL,1.3205910727362236,7.706492545482515e-07
VPS50,1.3176490272781225,5.464498896929813e-09
HSPB6,3.3381967324185147,0.057898091799506946
ARHGAP33,2.0612679046767677,2.246372963073354e-05
NDUFAB1,0.6892202301664373,1.7497314034746082e-07
